Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
13時59分47秒     all      0.90      0.00      0.70      0.00      0.00     98.39
14時00分47秒     all      0.98      0.00      0.79      0.00      0.00     98.23
14時01分47秒     all      0.94      0.00      0.73      0.00      0.00     98.34
14時02分47秒     all      0.96      0.00      0.83      0.14      0.00     98.07
14時03分47秒     all      0.87      0.00      0.69      0.00      0.00     98.44
14時04分47秒     all      0.85      0.00      0.67      0.00      0.00     98.47
14時05分47秒     all      0.97      0.00      0.68      0.00      0.00     98.35
14時06分47秒     all      2.72      0.00      1.03      0.01      0.00     96.23
14時07分47秒     all      0.97      0.00      0.71      0.00      0.00     98.32
14時08分47秒     all      0.95      0.00      0.74      0.32      0.00     97.99
14時09分47秒     all      0.98      0.00      0.73      0.01      0.00     98.28
14時10分47秒     all      0.88      0.00      0.75      0.00      0.00     98.37
14時11分47秒     all      0.92      0.00      0.70      0.00      0.00     98.38
14時12分47秒     all      0.88      0.00      0.83      0.01      0.00     98.28
14時13分47秒     all      0.92      0.00      0.67      0.00      0.00     98.41
14時14分47秒     all      0.82      0.00      0.68      0.00      0.00     98.50
14時15分47秒     all      0.91      0.00      0.69      0.00      0.00     98.40
14時16分47秒     all      0.85      0.00      0.67      0.00      0.00     98.48
14時17分47秒     all      0.91      0.00      0.67      0.00      0.00     98.42
14時18分47秒     all      0.86      0.00      0.69      0.00      0.00     98.45
14時19分47秒     all      0.95      0.00      0.70      0.00      0.00     98.35
14時20分47秒     all      0.91      0.00      0.75      0.00      0.00     98.34
14時21分47秒     all      0.92      0.00      0.66      0.00      0.00     98.41
14時22分47秒     all      0.97      0.00      0.83      0.00      0.00     98.20
14時23分47秒     all      0.85      0.00      0.67      0.00      0.00     98.47
14時24分47秒     all      0.87      0.00      0.67      0.00      0.00     98.46
14時25分47秒     all      0.89      0.00      0.71      0.00      0.00     98.40
14時26分47秒     all      0.88      0.00      0.72      0.00      0.00     98.40
14時27分47秒     all      0.88      0.00      0.71      0.00      0.00     98.41
14時28分47秒     all      0.94      0.00      0.75      0.00      0.00     98.30
14時29分47秒     all      0.89      0.00      0.72      0.00      0.00     98.39
14時30分47秒     all      0.89      0.00      0.72      0.00      0.00     98.39
14時31分47秒     all      0.89      0.00      0.72      0.02      0.00     98.37
14時32分47秒     all      0.90      0.00      0.82      0.00      0.00     98.28
14時33分47秒     all      0.88      0.00      0.68      0.00      0.00     98.44
14時34分47秒     all      0.86      0.00      0.67      0.00      0.00     98.46
14時35分47秒     all      0.88      0.00      0.67      0.00      0.00     98.45
14時36分47秒     all      0.87      0.00      0.66      0.00      0.00     98.46
